Time (ms),AngleToHorizontal 1
33,0.2889169
50,0.3380944
67,0.3135056
83,0.1536791
100,-0.2889169
117,-1.081902
133,-2.126921
150,-3.012113
167,-2.704754
183,-0.0614717
200,4.069426
217,6.184052
233,4.069426
250,-0.0614717
267,-2.704754
283,-3.012113
300,-2.126921
317,-1.081902
333,-0.2889169
350,0.1536791
367,0.3135056
383,0.3380944
400,0.2889169
417,0.2335924
433,0.1844151
450,0.1290906
467,0.1167962
483,0.1045019
500,0.0799132
517,0.0799132
533,0.06761887
550,0.03073585
567,0.02458868
583,0.03073585
600,0.01229434
617,0.00614717
633,0.00614717
650,-0.00614717
667,-0.00614717
683,0
700,-0.01229434
717,-0.01844151
733,0
750,0
767,-0.01229434
783,-0.006147169
800,-0.00614717
817,-0.00614717
833,0
850,-0.00614717
867,-0.00614717
883,0
900,0
917,0
933,0
950,0
967,0
983,0
1000,0
1017,0
1033,-0.00614717
1050,-0.00614717
1067,0
1083,-0.00614717
1100,0
1117,0.00614717
1133,-0.00614717
1150,-0.00614717
1167,-0.006147169
1183,-0.006147169
1200,-0.00614717
1217,-0.01229434
1233,0.00614717
1250,0.01229434
1267,0
1283,0.01229434
1300,0.02458868
1317,0.01844151
1333,-0.00614717
1350,-0.06761887
1367,-0.1536792
1383,-0.2274453
1400,-0.2335925
1417,0.00614717
1433,0.7192188
1450,2.034713
1467,3.829687
1483,5.34189
1500,5.126739
1517,2.268305
1533,-1.979388
1550,-4.905441
1567,-5.175917
1583,-3.71289
1600,-1.973241
1617,-0.7192188
1633,-0.09835471
1650,0.03688302
1667,-0.0983547
1683,-0.3503886
1700,-0.6270112
1717,-0.8974867
1733,-1.161815
1750,-1.419996
1767,-1.67203
1783,-1.905623
1800,-2.120773
1817,-2.305189
1833,-2.446573
1850,-2.53878
1867,-2.587959
1883,-2.594106
1900,-2.526487
1917,-2.243718
1933,-1.352378
1950,0.7806914
1967,5.009944
1983,12.11607
2000,21.90236
2017,31.85464
2033,35.49376
2050,21.36141
2067,-25.17881
2083,-114.3128
2100,-239.8073
2117,-370.9018
2133,-455.5913
2150,-443.8933
2167,-324.964
2183,-150.4211
2200,-20.29181
2217,-7.73314
2233,-72.5489
2250,-106.9976
2267,-80.63857
2283,-57.59898
2300,-78.19814
2317,-121.4251
2333,-175.6677
2350,-252.5688
2367,-335.5003
2383,-410.4034
2400,-552.4767
2417,-883.4713
2433,-1422.677
2450,-2019.191
2467,-2338.555
2483,-1906.748
2500,-560.6895
2517,1045.904
2533,1984.331
2550,2058.573
2567,1624.522
2583,781.0563
2600,-597.511
2617,-2388.037
2633,-4177.343
2650,-5250.498
2667,-4480.17
2683,-1394.713
2700,2424.938
2717,4653.906
2733,4675.628
2750,3378.188
2767,1583.226
2783,-299.4151
2800,-1812.983
2817,-2402.88
2833,-1927.646
2850,-853.3903
2867,198.4298
2883,889.8069
2900,1309.409
2917,1775.835
2933,2410.396
2950,3020.184
2967,3223.135
2983,2578.22
3000,1051.12
3017,-728.3458
3033,-2063.076
3050,-2666.507
3067,-2404.905
3083,-1181.922
3100,649.6854
3117,2250.081
3133,3013.564
3150,2948.106
3167,2275.648
3183,1244.574
3200,199.4418
3217,-699.6201
3233,-1469.885
3250,-1811.477
3267,-1253.766
3283,-5.623124
3300,909.7857
3317,795.8218
3333,81.61443
3350,-452.6208
3367,-596.5966
3383,-558.6225
3400,-524.5917
3417,-564.4485
3433,-647.9117
3450,-583.0206
3467,-31.36583
3483,1294.459
3500,3550.981
3517,7077.005
3533,12771.24
3550,20662.6
3567,22479.44
3583,4192.009
3600,-26606.43
3617,-45152.31
3633,-42284
3650,-18598.92
3667,13461.45
3683,29728.28
3700,26160.57
3717,11844.79
3733,-7872.07
3750,-20583.08
3767,-15636.47
3783,-1555.486
3800,7166.751
3817,8124.208
3833,6047.053
3850,3823.853
3867,2108.172
3883,928.7773
3900,207.5023
3917,-158.7599
3933,-283.9762
3950,-273.2524
3967,-205.8211
3983,-129.945
4000,-68.1214
4017,-26.31449
4033,-2.168415
4050,9.351381
4067,12.92596
4083,11.76107
4100,7.498011
4117,0.7361236
4133,-8.172663
4150,-18.23097
4167,-26.89387
4183,-29.21289
4200,-18.44458
4217,8.888807
4233,46.69697
4250,80.74768
4267,95.41637
4283,73.06987
4300,-11.36612
4317,-182.3235
4333,-442.1905
4350,-757.5833
4367,-1050.13
4383,-1169.729
4400,-870.7082
4417,163.871
4433,2296.083
4450,6155.713
4467,13615.73
4483,28669.43
4500,41883.07
4517,20034.15
4533,-25957.93
4550,-40113.64
4567,-24014.8
4583,-10622.04
4600,-4709.949
4617,-2093.542
4633,-842.6479
4650,-235.0555
4667,24.226
4683,85.83293
4700,50.05025
4717,-9.177728
4733,-46.3681
4750,-49.10359
4767,-34.7561
4783,-26.60495
4800,-23.3531
4817,-6.860239
