Time (ms),AngleToHorizontal 1
33,1.933563E-09
50,3.219255E-09
67,4.89688E-09
83,6.537242E-09
100,6.691198E-09
117,3.437675E-09
133,2.012187E-12
150,1.101851E-08
167,5.433506E-08
183,9.796015E-08
200,5.654736E-08
217,0
233,5.654736E-08
250,9.796015E-08
267,5.433506E-08
283,1.101851E-08
300,2.012187E-12
317,3.437675E-09
333,6.691198E-09
350,6.537242E-09
367,4.89688E-09
383,3.219255E-09
400,1.933563E-09
417,1.19135E-09
433,6.762707E-10
450,4.133648E-10
467,2.584375E-10
483,1.287718E-10
500,6.460951E-11
517,2.705104E-11
533,3.576997E-12
550,0
567,2.235621E-13
583,3.576994E-12
600,8.048235E-12
617,8.048234E-12
633,1.095454E-11
650,1.095454E-11
667,8.048234E-12
683,8.048235E-12
700,8.048235E-12
717,3.576993E-12
733,2.012059E-12
750,3.576993E-12
767,2.012059E-12
783,8.942483E-13
800,8.942483E-13
817,2.235621E-13
833,2.235621E-13
850,2.235621E-13
867,0
883,0
900,0
917,0
933,0
950,0
967,0
983,0
1000,0
1017,0
1033,0
1050,2.235621E-13
1067,2.235621E-13
1083,2.235621E-13
1100,8.942483E-13
1117,2.235621E-13
1133,2.235621E-13
1150,8.942483E-13
1167,8.942484E-13
1183,2.012059E-12
1200,2.01206E-12
1217,3.576995E-12
1233,5.589054E-12
1250,2.012059E-12
1267,2.012057E-12
1283,2.012052E-12
1300,2.235608E-13
1317,2.235601E-13
1333,8.942396E-13
1350,0
1367,1.810866E-11
1383,1.397311E-10
1400,4.730943E-10
1417,8.874358E-10
1433,4.527937E-10
1450,6.520159E-10
1467,1.828702E-08
1483,1.024314E-07
1500,2.97945E-07
1517,5.094403E-07
1533,5.176938E-07
1550,3.148171E-07
1567,1.17296E-07
1583,2.678632E-08
1600,3.310652E-09
1617,1.503613E-10
1633,5.560947E-12
1650,2.224501E-11
1667,2.691765E-11
1683,8.008778E-12
1700,4.707444E-10
1717,2.594888E-09
1733,8.201116E-09
1750,1.962376E-08
1767,3.980603E-08
1783,7.202643E-08
1800,1.195294E-07
1817,1.858485E-07
1833,2.731155E-07
1850,3.829432E-07
1867,5.146653E-07
1883,6.681332E-07
1900,8.398671E-07
1917,1.022617E-06
1933,1.185041E-06
1950,1.243239E-06
1967,1.058206E-06
1983,5.337811E-07
2000,9.810815E-09
2017,9.023994E-07
2033,5.500023E-06
2050,1.349539E-05
2067,1.587719E-05
2083,3.033316E-06
2100,2.292092E-05
2117,0.0002775385
2133,0.001104894
2150,0.002661165
2167,0.004519593
2183,0.005837463
2200,0.006181549
2217,0.006053045
2233,0.006246297
2250,0.006911609
2267,0.007565064
2283,0.007935381
2300,0.00832018
2317,0.009018522
2333,0.01010327
2350,0.01179577
2367,0.01448906
2383,0.0183084
2400,0.02353428
2417,0.03234106
2433,0.05014192
2450,0.085371
2467,0.145567
2483,0.2222927
2500,0.2731238
2517,0.2552658
2533,0.188116
2550,0.1215625
2567,0.07601261
2583,0.05109423
2600,0.04722029
2617,0.07303699
2633,0.1542512
2650,0.3291475
2667,0.5938061
2683,0.8062037
2700,0.7781014
2717,0.5470602
2733,0.3076654
2750,0.1580427
2767,0.09027397
2783,0.07591522
2800,0.1028355
2817,0.1687407
2833,0.2519103
2850,0.311168
2867,0.3223252
2883,0.2940652
2900,0.2482229
2917,0.1941084
2933,0.1309335
2950,0.06624923
2967,0.01790621
2983,0.0002188314
3000,0.003631529
3017,0.004170421
3033,2.849709E-05
3050,0.008281969
3067,0.03771982
3083,0.07182091
3100,0.07707619
3117,0.04672657
3133,0.01229475
3150,1.302643E-05
3167,0.01058517
3183,0.02851555
3200,0.0377821
3217,0.03428601
3233,0.0209808
3250,0.006078986
3267,0.0001292736
3283,0.0002148909
3300,0.0001195831
3317,0.00276495
3333,0.004913963
3350,0.003487892
3367,0.001345613
3383,0.0002143185
3400,2.510275E-05
3417,0.0005992479
3433,0.002210496
3450,0.005278401
3467,0.008173263
3483,0.005636632
3500,3.539125E-05
3517,0.03564081
3533,0.2741771
3550,1.175415
3567,3.493295
3583,5.912694
3600,4.410584
3617,0.594363
3633,0.8217005
3650,4.242975
3667,4.366935
3683,1.444236
3700,0.01948678
3717,0.3403485
3733,0.4303883
3750,0.001858287
3767,0.5123934
3783,1.05769
3800,0.7732546
3817,0.3339423
3833,0.09978968
3850,0.01826094
3867,0.0007501217
3883,0.0006753822
3900,0.001916761
3917,0.001747834
3933,0.0009959991
3950,0.0004022756
3967,0.0001137123
3983,1.871789E-05
4000,5.371572E-07
