Time (ms),AngleToHorizontal 1
0,94.50692
17,94.50714
33,94.50742
50,94.50777
67,94.50824
83,94.50879
100,94.50941
117,94.50997
133,94.51025
150,94.50995
167,94.50874
183,94.50658
200,94.50422
217,94.50314
233,94.50422
250,94.50658
267,94.50874
283,94.50995
300,94.51025
317,94.50997
333,94.50941
350,94.50879
367,94.50824
383,94.50777
400,94.50742
417,94.50714
433,94.50692
450,94.50677
467,94.50663
483,94.50653
500,94.50646
517,94.50642
533,94.50639
550,94.50639
567,94.50639
583,94.5064
600,94.50642
617,94.50644
633,94.50646
650,94.50648
667,94.50651
683,94.50653
700,94.50655
717,94.50657
733,94.50658
750,94.50659
767,94.5066
783,94.50661
800,94.50661
817,94.50662
833,94.50662
850,94.50663
867,94.50663
883,94.50663
900,94.50663
917,94.50663
933,94.50663
950,94.50663
967,94.50663
983,94.50663
1000,94.50663
1017,94.50663
1033,94.50663
1050,94.50663
1067,94.50662
1083,94.50662
1100,94.50661
1117,94.50661
1133,94.50661
1150,94.5066
1167,94.50659
1183,94.50659
1200,94.50658
1217,94.50657
1233,94.50655
1250,94.50653
1267,94.50653
1283,94.50652
1300,94.50651
1317,94.50651
1333,94.50652
1350,94.50652
1367,94.50652
1383,94.50646
1400,94.50634
1417,94.50614
1433,94.50591
1450,94.50584
1467,94.50628
1483,94.50779
1500,94.5109
1517,94.51568
1533,94.52122
1550,94.52609
1567,94.52935
1583,94.53104
1600,94.53172
1617,94.53188
1633,94.53189
1650,94.53191
1667,94.53196
1683,94.53199
1700,94.53192
1717,94.53168
1733,94.53118
1750,94.53036
1767,94.52915
1783,94.52747
1800,94.52527
1817,94.52247
1833,94.51903
1850,94.5149
1867,94.51006
1883,94.50451
1900,94.49823
1917,94.49124
1933,94.48358
1950,94.47548
1967,94.46744
1983,94.46058
2000,94.45686
2017,94.45914
2033,94.47061
2050,94.4931
2067,94.52381
2083,94.5508
2100,94.54903
2117,94.48148
2133,94.30779
2150,94.00005
2167,93.56034
2183,93.0254
2200,92.45182
2217,91.88362
2233,91.32076
2250,90.73325
2267,90.10908
2283,89.46398
2300,88.80781
2317,88.13072
2333,87.41965
2350,86.66254
2367,85.8363
2383,84.91373
2400,83.88017
2417,82.70892
2433,81.31019
2450,79.52248
2467,77.15945
2483,74.09248
2500,70.41031
2517,66.54388
2533,63.03819
2550,60.1574
2567,57.87088
2583,56.05821
2600,54.50859
2617,52.82687
2633,50.4824
2650,46.94215
2667,41.81472
2683,35.22355
2700,28.16907
2717,21.95527
2733,17.2178
2750,13.85799
2767,11.46167
2783,9.514256
2800,7.464677
2817,4.837838
2833,1.453262
2850,-2.508448
2867,-6.699983
2883,-10.80294
2900,-14.63275
2917,-18.10877
2933,-21.11062
2950,-23.44144
2967,-24.91027
2983,-25.41835
3000,-25.12865
3017,-24.53057
3033,-24.17913
3050,-24.45207
3067,-25.52192
3083,-27.33635
3100,-29.53682
3117,-31.53388
3133,-32.82985
3150,-33.23132
3167,-32.77447
3183,-31.65308
3200,-30.1906
3217,-28.69199
3233,-27.38512
3250,-26.50825
3267,-26.21285
3283,-26.33726
3300,-26.43365
3317,-26.17252
3333,-25.64358
3350,-25.12354
3367,-24.76283
3383,-24.57746
3400,-24.54496
3417,-24.65208
3433,-24.90998
3450,-25.35386
3467,-25.99489
3483,-26.70345
3500,-27.11465
3517,-26.61474
3533,-24.28888
3550,-18.6627
3567,-7.272851
3583,12.24778
3600,34.72034
3617,47.81606
3633,47.15084
3650,33.21509
3667,12.5991
3683,-2.051353
3700,-6.995467
3717,-4.286371
3733,2.477276
3750,6.639495
3767,3.203273
3783,-5.304737
3800,-13.44459
3817,-18.97729
3833,-22.12939
3850,-23.62293
3867,-24.09524
3883,-24.01985
3900,-23.71868
3917,-23.38479
3933,-23.11156
3950,-22.92613
3967,-22.81996
3983,-22.77108
4000,-22.75705
4017,-22.76041
4033,-22.76983
4050,-22.77899
4067,-22.78503
4083,-22.78718
4100,-22.78587
4117,-22.78232
4133,-22.77841
4150,-22.77667
4167,-22.78005
4183,-22.79131
4200,-22.81163
4217,-22.83846
4233,-22.86375
4250,-22.87579
4267,-22.86405
4283,-22.82347
4300,-22.75839
4317,-22.69
4333,-22.66539
4350,-22.75915
4367,-23.06373
4383,-23.67003
4400,-24.62883
4417,-25.88051
4433,-27.16115
4450,-27.9085
4467,-27.14168
4483,-23.09604
4500,-11.99286
4517,13.57034
4533,49.68669
4550,72.4907
4567,82.52546
4583,86.84401
4600,88.68106
4617,89.393
4633,89.60096
4650,89.61353
4667,89.58276
4683,89.57183
4700,89.59142
4717,89.62665
4733,89.65826
4750,89.67545
4767,89.6796
4783,89.67787
4800,89.67297
4817,89.66418
4833,89.657
4850,89.6629
4867,89.68848
4883,89.73295
4900,89.79548
4917,89.87827
4933,89.98109
4950,90.09343
4967,90.18889
4983,90.228
5017,90.17873
5133,90.06066
6017,89.97166
6067,90.02879
6133,90.26605
7017,90.60805
7883,90.9419
8817,91.20016
10767,91.37206
12317,91.47894
13133,91.55547
14567,91.5945
15517,91.49593
16017,91.13134
19633,90.47453
20700,89.60856
20750,88.60709
20767,87.48836
20783,86.2497
20800,84.86686
20817,83.29008
20833,81.4865
21133,79.51582
25317,77.61281
30067,76.23367
30633,76.03384
33567,77.73414
38200,81.71898
44133,87.282
48450,92.50356
49700,95.75183
51067,96.90254
54133,96.7644
56833,96.05875
63267,95.13876
65883,94.18939
