Time (ms),AngleToHorizontal 1
33,8.814146E-05
50,0.0001031444
67,9.564363E-05
83,4.68848E-05
100,-8.814535E-05
117,-0.0003300837
133,-0.000648921
150,-0.0009189729
167,-0.0008251422
183,-1.875096E-05
200,0.00124115
217,0.001885986
233,0.00124115
250,-1.875096E-05
267,-0.0008251422
283,-0.0009189729
300,-0.000648921
317,-0.0003300837
333,-8.814535E-05
350,4.68848E-05
367,9.564363E-05
383,0.0001031444
400,8.814146E-05
417,7.12635E-05
433,5.626087E-05
450,3.938273E-05
467,3.563209E-05
483,3.188138E-05
500,2.43799E-05
517,2.43799E-05
533,2.062914E-05
550,9.376879E-06
567,7.501501E-06
583,9.376875E-06
600,3.750749E-06
617,1.875375E-06
633,1.875375E-06
650,-1.875375E-06
667,-1.875375E-06
683,0
700,-3.750749E-06
717,-5.626124E-06
733,0
750,0
767,-3.750749E-06
783,-1.875374E-06
800,-1.875375E-06
817,-1.875375E-06
833,0
850,-1.875375E-06
867,-1.875375E-06
883,0
900,0
917,0
933,0
950,0
967,0
983,0
1000,0
1017,0
1033,-1.875375E-06
1050,-1.875375E-06
1067,0
1083,-1.875375E-06
1100,0
1117,1.875375E-06
1133,-1.875375E-06
1150,-1.875375E-06
1167,-1.875375E-06
1183,-1.875375E-06
1200,-1.875376E-06
1217,-3.750751E-06
1233,1.875376E-06
1250,3.750749E-06
1267,0
1283,3.750738E-06
1300,7.501455E-06
1317,5.626075E-06
1333,-1.875356E-06
1350,-2.0629E-05
1367,-4.688469E-05
1383,-6.939124E-05
1400,-7.126982E-05
1417,1.875624E-06
1433,0.0002194578
1450,0.0006208528
1467,0.001168392
1483,0.001629167
1500,0.001562529
1517,0.0006906859
1533,-0.0006020723
1550,-0.00149069
1567,-0.001571853
1583,-0.001127148
1600,-0.0005989476
1617,-0.0002183057
1633,-2.985511E-05
1650,1.119628E-05
1667,-2.985807E-05
1683,-0.0001063723
1700,-0.0001903529
1717,-0.000272467
1733,-0.0003527137
1750,-0.0004310932
1767,-0.0005076063
1783,-0.0005785207
1800,-0.0006438369
1817,-0.0006998227
1833,-0.0007427449
1850,-0.0007707376
1867,-0.0007856669
1883,-0.0007875322
1900,-0.0007670023
1917,-0.0006811557
1933,-0.0004105579
1950,0.000237003
1967,0.00152092
1983,0.003678213
2000,0.006649244
2017,0.009670908
2033,0.01077628
2050,0.006486019
2067,-0.007645723
2083,-0.03471393
2100,-0.072822
2117,-0.1126108
2133,-0.1382627
2150,-0.1346073
2167,-0.09842819
2183,-0.04549114
2200,-0.006125361
2217,-0.002329348
2233,-0.02179993
2250,-0.03206719
2267,-0.02410648
2283,-0.01718404
2300,-0.02330128
2317,-0.03617797
2333,-0.05241762
2350,-0.07565437
