Time (ms),Marker 1
0,5.446454
17,5.446382
33,5.446318
50,5.44627
67,5.446243
83,5.446234
100,5.44624
117,5.446256
133,5.446277
150,5.446301
167,5.446326
183,5.44635
200,5.446373
217,5.446393
233,5.446412
250,5.446429
267,5.446444
283,5.446459
300,5.446473
317,5.446488
333,5.446503
350,5.44652
367,5.446538
383,5.446558
400,5.446578
417,5.446597
433,5.446614
450,5.446627
467,5.446633
483,5.446628
500,5.446608
517,5.446567
533,5.446499
550,5.4464
567,5.44626
583,5.446076
600,5.445842
617,5.445554
633,5.445212
650,5.44482
667,5.444386
683,5.443927
700,5.443458
717,5.442986
733,5.442515
750,5.442056
767,5.441622
783,5.44123
800,5.440888
817,5.440601
833,5.44037
850,5.44019
867,5.440059
883,5.43997
900,5.439918
917,5.439897
933,5.439901
950,5.439926
967,5.439968
983,5.440022
1000,5.440085
1017,5.440152
1033,5.440218
1050,5.44028
1067,5.44033
1083,5.440362
1100,5.440367
1117,5.440335
1133,5.440254
1150,5.440112
1167,5.439893
1183,5.439585
1200,5.439173
1217,5.438646
1233,5.437996
1250,5.437223
1267,5.436336
1283,5.435351
1300,5.434297
1317,5.433202
1333,5.432092
1350,5.430993
1367,5.429929
1383,5.428916
1400,5.427958
1417,5.427052
1433,5.426191
1450,5.425365
1467,5.424573
1483,5.423817
1500,5.423101
1517,5.422425
1533,5.421781
1550,5.421149
1567,5.420509
1583,5.419835
1600,5.419103
1617,5.418291
1633,5.417376
1650,5.416325
1667,5.415094
1683,5.413626
1700,5.411854
1717,5.409694
1733,5.407045
1750,5.403798
1767,5.399839
1783,5.395052
1800,5.389322
1817,5.382541
1833,5.374612
1850,5.36545
1867,5.354984
1883,5.343152
1900,5.329897
1917,5.315171
1933,5.298939
1950,5.281197
1967,5.26199
1983,5.241416
2000,5.219639
2017,5.196886
2033,5.173447
2050,5.149663
2067,5.125916
2083,5.102612
2100,5.080151
2117,5.058881
2133,5.039074
2150,5.020908
2167,5.004462
2183,4.989721
2200,4.976584
2217,4.9649
2233,4.954473
2250,4.945076
2267,4.936444
2283,4.928292
2300,4.920321
2317,4.91223
2333,4.903718
2350,4.894499
2367,4.884305
2383,4.872901
2400,4.860097
2417,4.845748
2433,4.82976
2450,4.812084
2467,4.792727
2483,4.771761
2500,4.749333
2517,4.725663
2533,4.701031
2550,4.675764
2567,4.650202
2583,4.62465
2600,4.599346
2617,4.574455
2633,4.550062
2650,4.526177
2667,4.502756
2683,4.47974
2700,4.457077
2717,4.434734
2733,4.412697
2750,4.390966
2767,4.369547
2783,4.34844
2800,4.327652
2817,4.307217
2833,4.287212
2850,4.267756
2867,4.249011
2883,4.231188
2900,4.21454
2917,4.199325
2933,4.185773
2950,4.174038
2967,4.164179
2983,4.156152
3000,4.149822
3017,4.144999
3033,4.14146
3050,4.138977
3067,4.137329
3083,4.136312
3100,4.135755
3117,4.135515
3133,4.135487
3150,4.135602
3167,4.135817
3183,4.136108
3200,4.136458
3217,4.136857
3233,4.137297
3250,4.137774
3267,4.138282
3283,4.138816
3300,4.139364
3317,4.139911
3333,4.140441
3350,4.140945
3367,4.141419
3383,4.141852
3400,4.142228
3417,4.142529
3433,4.142744
3450,4.142866
3467,4.142897
3483,4.14284
3500,4.142705
3517,4.142507
3533,4.142263
3550,4.141997
3567,4.141731
3583,4.141476
3600,4.141233
3617,4.141005
3633,4.140793
3650,4.140596
3667,4.140405
3683,4.140216
3700,4.14003
3717,4.139845
3733,4.139658
3750,4.139473
3767,4.139301
3783,4.139155
3800,4.139038
3817,4.138945
3833,4.138867
3850,4.138786
3867,4.138687
3883,4.138568
3900,4.138438
3917,4.13831
3933,4.138193
3950,4.138093
3967,4.138013
3983,4.137949
4000,4.137901
4017,4.137868
4033,4.137861
4050,4.137896
4067,4.137986
4083,4.138143
4100,4.138377
4117,4.138691
4133,4.139088
4150,4.139561
4167,4.140095
4183,4.14067
4200,4.141261
4217,4.141846
4233,4.142415
4250,4.142966
4267,4.143503
4283,4.144035
4300,4.144572
4317,4.145121
4333,4.145687
4350,4.146271
4367,4.146863
4383,4.147447
4400,4.148
4417,4.148506
4433,4.148955
4450,4.149348
4467,4.149691
4483,4.149994
4500,4.150273
4517,4.150541
4533,4.150815
4550,4.151112
4567,4.151442
4583,4.151816
4600,4.152239
4617,4.152708
4633,4.153213
4650,4.153735
4667,4.15425
4683,4.15474
4700,4.155197
4717,4.155619
4733,4.156016
4750,4.156402
4767,4.156791
4783,4.157203
4800,4.157657
4817,4.158168
4833,4.158751
4850,4.159411
4867,4.16016
4883,4.161013
4900,4.161999
4917,4.163158
4933,4.164535
4950,4.166176
4967,4.168132
4983,4.170462
5000,4.173226
5017,4.176487
5033,4.180298
5050,4.184708
5067,4.189761
5083,4.195506
5100,4.201996
5117,4.20928
5133,4.217392
5150,4.226354
5167,4.236169
5183,4.246828
5200,4.258305
5217,4.270557
5233,4.283523
5250,4.297125
5267,4.311278
5283,4.325898
5300,4.340911
5317,4.356258
5333,4.371883
5350,4.387719
5367,4.403678
5383,4.41967
5400,4.4356
5417,4.451377
5433,4.466913
5450,4.482126
5467,4.496941
5483,4.511295
5500,4.525144
5517,4.538468
5533,4.551274
5550,4.563596
5567,4.575496
5583,4.587064
5600,4.598414
5617,4.609682
5633,4.621009
5650,4.632542
5667,4.644421
5683,4.656775
5700,4.669717
5717,4.683346
5733,4.697745
5750,4.712982
5767,4.729105
5783,4.74615
5800,4.764138
5817,4.783074
5833,4.802953
5850,4.823772
5867,4.845534
5883,4.868244
5900,4.891908
5917,4.916527
5933,4.942095
5950,4.968594
5967,4.99599
5983,5.024242
6000,5.053284
6017,5.083001
6033,5.113221
6050,5.143728
6067,5.174277
6083,5.204588
6100,5.23437
6117,5.26334
6133,5.291239
6150,5.317825
6167,5.342871
6183,5.366171
6200,5.387547
6217,5.406847
6233,5.423971
6250,5.438894
6267,5.451684
6283,5.462478
6300,5.471471
6317,5.478887
6333,5.484965
6350,5.48994
6367,5.49403
6383,5.497427
6400,5.500297
6417,5.502769
6433,5.50495
6450,5.506913
6467,5.508714
6483,5.510392
6500,5.511975
6517,5.513487
6533,5.514946
6550,5.516361
6567,5.517737
6583,5.519073
6600,5.520368
6617,5.521615
6633,5.522804
6650,5.52393
6667,5.52499
6683,5.525982
6700,5.526902
6717,5.527739
6733,5.528478
6750,5.529109
6767,5.529628
6783,5.530042
6800,5.530357
6817,5.530587
6833,5.530744
6850,5.53084
6867,5.530889
6883,5.5309
6900,5.530886
6917,5.530854
6933,5.53081
6950,5.530763
6967,5.530715
6983,5.530669
7000,5.530627
7017,5.530592
7033,5.530562
7050,5.53054
7067,5.530522
7083,5.53051
7100,5.530502
7117,5.530497
7133,5.530494
7150,5.530493
7167,5.530493
7183,5.530493
7200,5.530494
7217,5.530495
7233,5.530495
7250,5.530494
7267,5.530493
7283,5.530491
7300,5.53049
7317,5.530488
7333,5.530487
7350,5.530485
7367,5.530484
7383,5.530483
7400,5.530482
7417,5.530482
7433,5.530481
7450,5.530481
7467,5.530481
7483,5.530481
7500,5.530481
7517,5.530481
7533,5.530482
7550,5.530482
7567,5.530483
7583,5.530483
7600,5.530484
7617,5.530484
7633,5.530484
7650,5.530484
7667,5.530483
7683,5.530482
7700,5.53048
7717,5.530478
7733,5.530475
7750,5.530471
7767,5.530466
7783,5.530459
7800,5.530452
7817,5.530444
7833,5.530435
7850,5.530427
7867,5.530418
7883,5.530411
7900,5.530406
7917,5.530406
7933,5.530411
7950,5.530424
7967,5.530447
7983,5.530484
8000,5.530536
8017,5.530607
8033,5.530698
8050,5.530812
8067,5.53095
8083,5.531111
8100,5.531291
8117,5.531486
8133,5.531685
8150,5.531876
8167,5.532037
8183,5.532145
8200,5.532166
8217,5.53206
8233,5.531767
8250,5.531205
8267,5.530255
8283,5.528768
8300,5.526567
8317,5.523457
8333,5.519228
8350,5.513676
8367,5.506599
8383,5.497802
8400,5.487097
8417,5.474314
8433,5.459303
8450,5.441941
8467,5.422135
8483,5.399844
8500,5.375085
8517,5.347936
8533,5.318549
8550,5.28716
8567,5.254093
8583,5.219746
8600,5.18458
8617,5.149107
8633,5.113846
8650,5.079269
8667,5.045747
8683,5.013516
8700,4.982671
8717,4.953177
8733,4.92491
8750,4.8977
8767,4.871377
8783,4.845792
8800,4.820838
8817,4.796456
8833,4.772635
8850,4.749394
8867,4.726779
8883,4.704859
8900,4.683713
8917,4.663428
8933,4.644084
8950,4.625755
8967,4.608506
8983,4.59237
9000,4.577345
9017,4.563391
9033,4.550418
9050,4.53829
9067,4.526822
9083,4.51581
9100,4.505029
9117,4.494237
9133,4.483189
9150,4.47166
9167,4.459456
9183,4.446422
9200,4.43244
9217,4.417442
9233,4.401415
9250,4.384398
9267,4.366477
9283,4.347767
9300,4.328416
9317,4.308596
9333,4.28851
9350,4.268405
9367,4.248574
9383,4.229345
9400,4.211083
9417,4.194171
9433,4.178963
9450,4.165713
9467,4.15454
9483,4.145422
9500,4.138237
9517,4.132788
9533,4.128841
9550,4.126149
9567,4.124469
9583,4.123578
9600,4.123275
9617,4.123394
9633,4.123796
9650,4.124375
9667,4.125058
9683,4.125794
9700,4.126549
9717,4.127293
9733,4.127995
9750,4.12863
9767,4.129185
9783,4.129653
9800,4.130034
9817,4.130334
9833,4.130562
9850,4.130725
9867,4.130833
9883,4.130897
9900,4.130924
9917,4.130922
9933,4.130899
9950,4.130861
9967,4.130813
9983,4.130757
10000,4.130699
10017,4.130639
10033,4.13058
10050,4.130523
10067,4.130469
10083,4.130421
10100,4.13038
10117,4.13035
10133,4.130335
10150,4.13034
10167,4.13037
10183,4.130434
10200,4.130538
10217,4.130693
10233,4.130906
10250,4.131186
10267,4.131538
10283,4.131968
10300,4.132474
10317,4.133052
10333,4.133696
10350,4.134408
10367,4.135194
10383,4.136054
10400,4.136978
10417,4.13795
10433,4.138955
10450,4.139972
10467,4.140985
10483,4.141982
10500,4.142963
