Time (ms),Marker 1
0,0.001344395
17,0.001302004
33,0.001413431
50,0.001524858
67,0.001482468
83,0.001255979
100,0.000925331
117,0.0005983161
133,0.000328226
150,0.0001259613
167,-1.574515E-05
183,-0.0001053714
200,-0.0001526069
217,-0.0001647186
233,-0.0001489734
250,-0.0001138496
267,-6.903648E-05
283,-2.180099E-05
300,2.54345E-05
317,6.661416E-05
333,9.325982E-05
350,9.568213E-05
367,6.903645E-05
383,9.689303E-06
400,-8.96263E-05
417,-0.0002385997
433,-0.0004469203
450,-0.0007194328
467,-0.001057348
483,-0.001461878
500,-0.001929388
517,-0.002446556
533,-0.002992792
550,-0.003537817
567,-0.004040451
583,-0.004438924
600,-0.0046533
617,-0.004591531
633,-0.004171256
650,-0.003388843
667,-0.002372675
683,-0.00133955
700,-0.0004299644
717,0.0004081629
733,0.001327438
750,0.00237752
767,0.0034167
783,0.004229392
800,0.004687213
817,0.004795007
833,0.004633922
850,0.004294795
867,0.003851508
883,0.003359775
900,0.002861986
917,0.002385998
933,0.001943922
950,0.001532125
967,0.001139707
983,0.0007545566
1000,0.0003597164
1017,-6.782533E-05
1033,-0.0005535031
1050,-0.00112154
1067,-0.001793737
1083,-0.002588262
1100,-0.003513593
1117,-0.004564886
1133,-0.005722761
1150,-0.006944828
1167,-0.008162051
1183,-0.009277534
1200,-0.0101629
1217,-0.010651
1233,-0.01055531
1250,-0.009742621
1267,-0.00822382
1283,-0.006170894
1300,-0.003834554
1317,-0.0014534
1333,0.0007618245
1350,0.002593109
1367,0.00384061
1383,0.004412279
1400,0.0043929
1417,0.00402955
1433,0.003626232
1450,0.003403377
1467,0.003379154
1483,0.003354931
1500,0.003035183
1517,0.002198267
1533,0.0008042149
1550,-0.001019801
1567,-0.003076362
1583,-0.005227394
1600,-0.007500754
1617,-0.01010718
1633,-0.01334584
1650,-0.01747713
1667,-0.02268272
1683,-0.02908373
1700,-0.03672013
1717,-0.04548534
1733,-0.05511533
1750,-0.0652649
1767,-0.07557435
1783,-0.08568395
1800,-0.0952449
1817,-0.1039726
1833,-0.1117131
1850,-0.1184654
1867,-0.1243226
1883,-0.1293029
1900,-0.133129
1917,-0.1351068
1933,-0.1342227
1950,-0.1294034
1967,-0.1197601
1983,-0.1047404
2000,-0.08420633
2017,-0.05846541
2033,-0.02828073
2050,0.005074788
2067,0.03970931
2083,0.07315687
2100,0.1027517
2117,0.1261962
2133,0.141985
2150,0.1495439
2167,0.1491915
2183,0.1419475
2200,0.1291479
2217,0.1120074
2233,0.09142486
2250,0.06810991
2267,0.04278203
2283,0.01622479
2300,-0.01076847
2317,-0.0374214
2333,-0.06293097
2350,-0.08644333
2367,-0.1071058
2383,-0.1241894
2400,-0.1371913
2417,-0.1457857
2433,-0.1496408
2450,-0.1482673
2467,-0.1411069
2483,-0.1278265
2500,-0.1086307
2517,-0.08449583
2533,-0.05727367
2550,-0.02954885
2567,-0.004126443
2583,0.01664388
2600,0.03134501
2617,0.03964753
2633,0.04227817
2650,0.04083689
2667,0.03734148
2683,0.03359654
2700,0.03072365
2717,0.02907283
2733,0.02845152
2750,0.02853387
2767,0.02931022
2783,0.03132923
2800,0.03553439
2817,0.04284862
2833,0.05387628
2850,0.06879421
2867,0.0871979
2883,0.1078301
2900,0.1284696
2917,0.1462786
2933,0.158532
2950,0.1633924
2967,0.1603802
2983,0.1503554
3000,0.1350911
3017,0.1166838
3033,0.09707861
3050,0.07783318
3067,0.06008717
3083,0.04462784
3100,0.03194451
3117,0.02221884
3133,0.01528855
3150,0.01068006
3167,0.00775752
3183,0.005926237
3200,0.004752616
3217,0.003959302
3233,0.003350086
3250,0.002749348
3267,0.002002059
3283,0.001033125
3300,-8.599324E-05
3317,-0.001182099
3333,-0.002148609
3350,-0.003064251
3367,-0.004097376
3383,-0.005291585
3400,-0.006484584
3417,-0.007429294
3433,-0.007952518
3450,-0.008000964
3467,-0.007587956
3483,-0.006734084
3500,-0.005465993
3517,-0.003878155
3533,-0.002191
3550,-0.000703688
3567,0.0003633499
3583,0.0009786227
3600,0.001240235
3617,0.001241446
3633,0.001041603
3650,0.0007315445
3667,0.0004311753
3683,0.00021801
3700,0.0001295948
3717,0.0002385996
3733,0.0006261728
3750,0.001235389
3767,0.001811905
3783,0.002038393
3800,0.001729545
3817,0.0009386538
3833,-4.723551E-05
3850,-0.0008163261
3867,-0.001044025
3883,-0.00068552
3900,2.301223E-05
3917,0.0007485008
3933,0.001258402
3950,0.001493368
3967,0.001553926
3983,0.001652031
4000,0.002014169
4017,0.002750559
4033,0.003782472
4050,0.004904012
4067,0.005906858
4083,0.006648092
4100,0.007028398
4117,0.006950883
4133,0.006322288
4150,0.005120812
4167,0.003480893
4183,0.00171259
4200,0.0002010537
4217,-0.0007678797
4233,-0.001109429
4250,-0.0009192753
4267,-0.0003839395
4283,0.0002846243
4300,0.0008671951
4317,0.001148186
4333,0.0009459209
4350,0.0001768304
4367,-0.001065827
4383,-0.002496215
4400,-0.003736449
4417,-0.004483739
4433,-0.0046206
4450,-0.004194268
4467,-0.00333434
4483,-0.002181309
4500,-0.0008647722
4517,0.0004929444
4533,0.001773146
4550,0.002852296
4567,0.003600797
4583,0.003882999
4600,0.00358263
4617,0.002668199
4633,0.001271725
4650,-0.0002882578
4667,-0.001607218
4683,-0.002365408
4700,-0.002438078
4717,-0.00187973
4733,-0.0008308598
4750,0.0005474473
4767,0.002090473
4783,0.003628654
4800,0.005016651
4817,0.006204804
4833,0.007308177
4850,0.008606548
4867,0.01042935
4883,0.01298855
4900,0.01628655
4917,0.02018166
4933,0.0245358
4950,0.02929205
4967,0.03440075
4983,0.03970324
5000,0.04493669
5017,0.04988431
5033,0.05452428
5050,0.05900317
5067,0.0634421
5083,0.0677478
5100,0.07159326
5117,0.07456909
5133,0.07635918
5150,0.07680003
5167,0.07582263
5183,0.07337365
5200,0.06942041
5217,0.06404647
5233,0.05755462
5250,0.05047536
5267,0.04342273
5283,0.03683035
5300,0.0307079
5317,0.02463754
5333,0.01807666
5350,0.01074426
5367,0.002766307
5383,-0.005496274
5400,-0.01368861
5417,-0.02155271
5433,-0.02886572
5450,-0.03534303
5467,-0.04060555
5483,-0.04422332
5500,-0.04580874
5517,-0.04509293
5533,-0.04193541
5550,-0.03631439
5567,-0.02834977
5583,-0.01834554
5600,-0.00679586
5617,0.005674312
5633,0.01839519
5650,0.03074424
5667,0.04223216
5683,0.05254402
5700,0.06151513
5717,0.06906676
5733,0.0751674
5750,0.07982435
5767,0.08308119
5783,0.08504689
5800,0.0859625
5817,0.08622652
5833,0.08628225
5850,0.08642277
5867,0.08668317
5883,0.08687452
5900,0.08669043
5917,0.0858172
5933,0.08398955
5950,0.08090955
5967,0.07603096
5983,0.06849146
6000,0.05741171
6017,0.042346
6033,0.02347118
6050,0.001450963
6067,-0.02272149
6083,-0.04783744
6100,-0.07270147
6117,-0.09644274
6133,-0.1186228
6150,-0.1390334
6167,-0.1574116
6183,-0.1732149
6200,-0.1854828
6217,-0.1929121
6233,-0.1942953
6250,-0.1891333
6267,-0.1779349
6283,-0.162008
6300,-0.1430072
6317,-0.1225761
6333,-0.1021631
6350,-0.0829237
6367,-0.06566701
6383,-0.05085566
6400,-0.03865316
6417,-0.02898805
6433,-0.02161326
6450,-0.01615212
6467,-0.01216011
6483,-0.009216975
6500,-0.007027185
6517,-0.005452668
6533,-0.004443768
6550,-0.003944769
6567,-0.00386241
6583,-0.004097376
6600,-0.00454914
6617,-0.005089318
6633,-0.005584686
6650,-0.00599164
6667,-0.006410704
6683,-0.007000543
6700,-0.007807178
6717,-0.008679217
6733,-0.00934778
6750,-0.009591225
6767,-0.009345359
6783,-0.008685273
6800,-0.007750253
6817,-0.006672315
6833,-0.005553198
6850,-0.004464359
6867,-0.003449402
6883,-0.002538604
6900,-0.001748924
6917,-0.001088838
6933,-0.0005583476
6950,-0.0001501846
6967,0.0001465511
6983,0.0003476047
7000,0.0004687213
7017,0.0005244349
7033,0.0005304908
7050,0.0005002117
7067,0.000444498
7083,0.0003730392
7100,0.0002955245
7117,0.0002216434
7133,0.0001574516
7150,0.0001053715
7167,6.176947E-05
7183,2.301216E-05
7200,-9.68933E-06
7217,-3.149032E-05
7233,-4.117965E-05
7250,-4.117965E-05
7267,-3.391265E-05
7283,-2.180099E-05
7300,-7.266997E-06
7317,6.055831E-06
7333,1.574516E-05
7350,1.937866E-05
7367,1.816749E-05
7383,1.574516E-05
7400,1.4534E-05
7417,1.4534E-05
